uniquename	name	genus	species
FBte0000236	Daur\I-element	Drosophila	auraria
FBte0000945	Deoh\Bari1	Drosophila	eohydei
FBte0000946	Dbak\1731	Drosophila	bakoue
FBte0000124	Q-element	Drosophila	melanogaster
FBte0000125	Nijinski	Drosophila	melanogaster
FBte0000123	Dsim\aurora-element	Drosophila	simulans
FBte0000650	Dgua\mdg1	Drosophila	guanche
FBte0000235	Dbak\I-element	Drosophila	bakoue
FBte0000629	Dtei\ninja	Drosophila	teissieri
FBte0000947	Dtsa\1731	Drosophila	tsacasi
FBte0000715	Dmie\micropia	Drosophila	milleri
FBte0000221	Dhyd\I-element	Drosophila	hydei
FBte0000617	Dsim\Circe	Drosophila	simulans
FBte0000073	Dboc\bilbo	Drosophila	bocqueti
FBte0000948	Dmir\spock	Drosophila	miranda
FBte0000470	Dlac\Ulysses	Drosophila	lacicola
FBte0000471	Dsim\Stalker2	Drosophila	simulans
FBte0000795	Dana\Bari1	Drosophila	ananassae
FBte0000719	Isadora	Drosophila	melanogaster
FBte0000126	Dfal\R2-element	Drosophila	falleni
FBte0000473	Ztub\mariner	Zaprionus	tuberculatus
FBte0000060	Dmim\bilbo	Drosophila	mimetica
FBte0000384	Dhyp\F-element	Drosophila	hypocausta
FBte0000197	Dpec\Uhu	Drosophila	peniculipedis
FBte0000949	Dafs\mdg3	Drosophila	affinis
FBte0000127	Dsuc\R2-element	Drosophila	sucinea
FBte0000796	Dsal\micropia	Drosophila	saltans
FBte0000430	Dsim\hobo	Drosophila	simulans
FBte0000797	Dbra\R1-element	Drosophila	brachynephros
FBte0000798	Drob\gypsy	Drosophila	robusta
FBte0000128	Dobs\F-element	Drosophila	obscura
FBte0000129	Dsus\P-element	Drosophila	subsilvestris
FBte0000130	Dana\1731	Drosophila	ananassae
FBte0000131	Dnov\Helena	Drosophila	novamexicana
FBte0000799	Draj\mariner	Drosophila	rajasekari
FBte0000759	Dmer\R2-element	Drosophila	mercatorum mercatorum
FBte0000132	Dafs\I-element	Drosophila	affinis
FBte0000134	Dpsa\mariner	Drosophila	pseudoananassae
FBte0000220	Dimm\I-element	Drosophila	immigrans
FBte0000800	G2	Drosophila	melanogaster
FBte0000801	Dhyd\gypsy	Drosophila	hydei
FBte0000802	Dsim\FB	Drosophila	simulans
FBte0000135	Dmad\SGM	Drosophila	madeirensis
FBte0000137	Dgua\F-element	Drosophila	guanche
FBte0000138	Dpse\transib2	Drosophila	pseudoobscura pseudoobscura
FBte0000284	Dsil\Loa	Drosophila	silvestris
FBte0000805	Dmau\R1-element	Drosophila	mauritiana
FBte0000806	Dtak\ZAM	Drosophila	takahashii
FBte0000807	Dpse\mariner	Drosophila	pseudoobscura pseudoobscura
FBte0000808	Dmir\copia	Drosophila	miranda
FBte0000139	Dbuz\ISBu3	Drosophila	buzzatii
FBte0000093	Dere\jockey	Drosophila	erecta
FBte0000140	Cr1a	Drosophila	melanogaster
FBte0000809	Dsuc\copia	Drosophila	sucinea
FBte0000141	Dsub\mdg1	Drosophila	subobscura
FBte0000142	Dsim\HeT-A	Drosophila	simulans
FBte0000144	Dvir\F-element	Drosophila	virilis
FBte0000145	Dpbp\R1-element	Drosophila	parabipectinata
FBte0000146	Dleb\412	Scaptodrosophila	lebanonensis
FBte0000147	Dser\mariner	Drosophila	serrata
FBte0000810	Dfum\gypsy	Drosophila	fumipennis
FBte0000513	Dkik\412	Drosophila	kikkawai
FBte0000444	Djam\hobo	Drosophila	jambulina
FBte0000651	Dsal\gypsy	Drosophila	saltans
FBte0000148	TAHRE	Drosophila	melanogaster
FBte0000811	Dpsb\mdg1	Drosophila	pseudoobscura bogotana
FBte0000812	Dbor\Ulysses	Drosophila	borealis
FBte0000149	Dana\micropia	Drosophila	ananassae
FBte0000150	Dalg\Bari1	Drosophila	algonquin
FBte0000151	Stalker4	Drosophila	melanogaster
FBte0000152	Dqua\mariner	Drosophila	quadraria
FBte0000813	Dins\P-element	Drosophila	insularis
FBte0000519	Derc\412	Drosophila	ercepeae
FBte0000153	Dpee\hobo	Drosophila	pennae
FBte0000155	Dnec\gypsy	Drosophila	neocardini
FBte0000156	Dneo\micropia	Drosophila	neocordata
FBte0000157	Dtex\Penelope	Drosophila	americana texana
FBte0000053	Dseg\bilbo	Drosophila	seguyi
FBte0000814	Dprp\micropia	Drosophila	propachuca
FBte0000546	Dric\Gandalf	Drosophila	richardsoni
FBte0000159	Dald\Gandalf	Drosophila	aldrichi
FBte0000160	Dhyd\T14	Drosophila	hydei
FBte0000161	BuT4-Dbuz-like	Drosophila	melanogaster
FBte0000162	Doro\hobo	Drosophila	orosa
FBte0000815	Dmir\3S18	Drosophila	miranda
FBte0000816	Dsuc\P-element	Drosophila	sucinea
FBte0000817	Dbus\gypsy	Drosophila	busckii
FBte0000163	Dsim\nomade	Drosophila	simulans
FBte0000164	Dseg\mariner	Drosophila	seguyi
FBte0000064	Dimm\bilbo	Drosophila	immigrans
FBte0000818	Helena-Dvir-like	Drosophila	melanogaster
FBte0000920	Dfla\Penelope	Drosophila	flavomontana
FBte0000165	Drua\P-element	Drosophila	rufa
FBte0000819	Dgri\gypsy	Drosophila	grimshawi
