MARINER2,FBte0001033,nnnnnnnn,Dmel/mariner2,terminal_inverted_repeat_element
MERCR1A3,FBte0001036,AF015277,Dmer/R1-element,non_LTR_retrotransposon
DOC4,FBte0001039,nnnnnnnn,Dmel/Doc4-element,non_LTR_retrotransposon
GYPSY2,FBte0001040,AL035631,Dmel/gypsy2,LTR_retrotransposon
GYPSY11,FBte0001041,nnnnnnnn,Dmel/gypsy11,LTR_retrotransposon
BS4,FBte0001042,nnnnnnnn,Dmel/BS4,non_LTR_retrotransposon
GTWIN,FBte0001062,AC006215,Dmel/gtwin,LTR_retrotransposon
STALKER,FBte0001066,AF420242,Dmel/Stalker,LTR_retrotransposon
TAKR1A2,FBte0001071,U23198,Dtak/R1-element,non_LTR_retrotransposon
ISBU1,FBte0001076,AF368900,Dbuz/INE-1,terminal_inverted_repeat_element
GALILEO,FBte0001080,AY187769,Dbuz/Galileo,foldback_element
INVADER2,FBte0001084,nnnnnnnn,Dmel/invader2,LTR_retrotransposon
JOCKEY2,FBte0001092,,Dmel/jockey2,non_LTR_retrotransposon
BUT6,FBte0001122,AY187768,Dbuz/BuT6,terminal_inverted_repeat_element
G5_DM,FBte0001128,,Dmel/G5,non_LTR_retrotransposon
GYPSY12,FBte0001136,AE003789,Dmel/gypsy12,LTR_retrotransposon
DOC3,FBte0001140,nnnnnnnn,Dmel/Doc3-element,non_LTR_retrotransposon
DFU309320,FBte0001144,AJ309320,Dfun/Isfun-1,terminal_inverted_repeat_element
STALKER3,FBte0001157,,Dmel/Stalker3,LTR_retrotransposon
ROXELEMENT,FBte0001160,AF237761,Dmel/X-element,non_LTR_retrotransposon
QBERT,FBte0001166,AF541947,Dmel/accord2,LTR_retrotransposon
G3,FBte0001171,nnnnnnnn,Dmel/G3,non_LTR_retrotransposon
TRANSIB4,FBte0001174,nnnnnnnn,Dmel/transib4,terminal_inverted_repeat_element
GYPSY6,FBte0001175,nnnnnnnn,Dmel/gypsy6,LTR_retrotransposon
DIVER2,FBte0001178,nnnnnnnn,Dmel/diver2,LTR_retrotransposon
BUT5,FBte0001188,AY187768,Dbuz/BuT5,terminal_inverted_repeat_element
AY561850,FBte0001206,AY561850,Dmel/TART-A,non_LTR_retrotransposon
DM14101,FBte0001207,U14101,Dmel/TART-B,non_LTR_retrotransposon
TARTC,FBte0001208,AY600955,Dmel/TART-C,non_LTR_retrotransposon
Xanthias,FBte0001316,FJ238509,Dmel/Xanthias,LTR_retrotransposon
AF222049,FBte0001377,AF222049,Dmel/Transpac,LTR_retrotransposon
Beagle2,FBte0001399,3R.Release.3,Dmel/HMS-Beagle2,LTR_retrotransposon
GEM,FBte0001481,AJ131629,Dsub/GEM,terminal_inverted_repeat_element
NEOR1A,FBte0001482,AF248067,Dnet/R1A,non_LTR_retrotransposon
NETR1B,FBte0001483,AF248068,Dnet/R1B,non_LTR_retrotransposon
DPSEMINIME,FBte0001484,AC131959,Dpse/mini-me,retrotransposon
P_O,FBte0001485,X71634,Dbif/P-element_O,terminal_inverted_repeat_element
P_M,FBte0001486,X60990,Dbif/P-element_M,terminal_inverted_repeat_element
DH14600,FBte0001189,U14600,Dhyd/Bungy,SINE-like elements
