embl_id,fb_id,source_id,flybase_name,species,te_name,te_type_gff,te_type_fasta,te_subtype_fasta
STALKER,FBte0001066,AF420242,Dmel\Stalker,Dmel,Stalker,LTR_retrotransposon,LTR,Gypsy
QUASIMODO,FBte0000640,AF364550,Dmel\Quasimodo,Dmel,Quasimodo,LTR_retrotransposon,LTR,Gypsy
SPRINGER,FBte0000333,AF364549,Dmel\springer,Dmel,springer,LTR_retrotransposon,LTR,Gypsy
BS,FBte0000780,nnnnnnnn,Dmel\BS,Dmel,BS,non_LTR_retrotransposon,LINE,Jockey
TRANSIB4,FBte0001174,nnnnnnnn,Dmel\transib4,Dmel,transib4,terminal_inverted_repeat_element,DNA,Transib
CIRC,FBte0000616,nnnnnnnn,Dmel\Circe,Dmel,Circe,LTR_retrotransposon,LTR,Gypsy
STALKER4,FBte0000151,Release3na_arms,Dmel\Stalker4,Dmel,Stalker4,LTR_retrotransposon,LTR,Gypsy
DME278684,FBte0000457,AJ278684,Dmel\Rt1a,Dmel,Rt1a,non_LTR_retrotransposon,LINE,R1
1360,FBte0000559,AC005453,Dmel\1360,Dmel,1360,terminal_inverted_repeat_element,DNA,P
DMAURA,FBte0000112,nnnnnnnn,Dmel\aurora-element,Dmel,aurora-element,LTR_retrotransposon,LTR,Bel-Pao
Q,FBte0000124,AE002612,Dmel\Q-element,Dmel,Q-element,non_LTR_retrotransposon,LINE,CR1
AF541951,FBte0000963,AF541951,Dmel\Bari2,Dmel,Bari2,terminal_inverted_repeat_element,DNA,Tc1-Mariner
OSV,FBte0000587,AY089271,Dmel\Osvaldo,Dmel,Osvaldo,LTR_retrotransposon,LTR,Gypsy
TARTC,FBte0001208,AY600955,Dmel\TART-C,Dmel,TART-C,non_LTR_retrotransposon,LINE,Jockey
HOPPER2,FBte0000930,AF541950,Dmel\hopper2,Dmel,hopper2,terminal_inverted_repeat_element,DNA,Transib
INE1,FBte0000312,U66884,Dmel\INE-1,Dmel,INE-1,terminal_inverted_repeat_element,DNA,Helitron
PPI251,FBte0000037,X06779,Dmel\P-element,Dmel,P-element,terminal_inverted_repeat_element,DNA,P
MERCR1A3,FBte0001036,AF015277,Dmer\R1-element,Dmer,R1-element,non_LTR_retrotransposon,?,?
DMTRIM,FBte0000176,X59239,Dmir\TRIM,Dmir,TRIM,LTR_retrotransposon,?,?
DMTRAM,FBte0000464,Y08905,Dmir\TRAM,Dmir,TRAM,LTR_retrotransposon,?,?
WORF,FBte0000599,AY144572,Dmir\worf,Dmir,worf,non_LTR_retrotransposon,?,?
SPOCK,FBte0000948,AY144571,Dmir\spock,Dmir,spock,non_LTR_retrotransposon,?,?
NETR1B,FBte0001483,AF248068,Dnet\R1B-element,Dnet,R1B-element,non_LTR_retrotransposon,?,?
NEOR1A,FBte0001482,AF248067,Dnet\R1A-element,Dnet,R1A-element,non_LTR_retrotransposon,?,?
DPSEMINIME,FBte0001487,AC131959,Dpse\INE-1,Dpse,INE-1,retrotransposon,?,?
DSV28T24,FBte0000284,X60177,Dsil\Loa,Dsil,Loa,non_LTR_retrotransposon,?,?
DSRN,FBte0000536,D83207,Dsim\ninja,Dsim,ninja,LTR_retrotransposon,?,?
U73803,FBte0000039,U73803,Dsub\bilbo,Dsub,bilbo,non_LTR_retrotransposon,?,?
SGM,FBte0000136,AF043638,Dsub\SGM,Dsub,SGM,mite,?,?
GEM,FBte0001481,AJ131629,Dsub\GEM-element,Dsub,GEM-element,terminal_inverted_repeat_element,?,?
TAKR1A2,FBte0001071,U23198,Dtak\R1-element,Dtak,R1-element,non_LTR_retrotransposon,?,?
DTEII,FBte0000242,M28878,Dtei\I-element,Dtei,I-element,non_LTR_retrotransposon,?,?
